CUSTOMER	ARRIVAL HEADWAY	ARRIVAL TIME	SERVICE TIME	DEPARTURE TIME	DELAY TIME
1	0.0	0.0	2.09	2.09	2.09
2	0.79	0.79	1.86	3.95	3.16
3	1.54	2.33	1.92	5.87	3.54
4	1.9	4.23	2.05	7.92	3.69
5	1.56	5.79	2.25	10.17	4.38
6	0.4	6.19	1.87	12.04	5.85
7	0.19	6.38	1.78	13.82	7.44
8	0.34	6.72	1.9	15.72	9.0
9	0.86	7.58	1.9	17.62	10.04
10	0.61	8.19	2.01	19.63	11.44
11	0.38	8.57	1.92	21.55	12.98
12	0.75	9.32	1.94	23.49	14.17
13	0.29	9.61	1.76	25.25	15.64
14	6.49	16.1	2.15	27.4	11.3
15	3.51	19.61	2.0	29.4	9.79
16	0.48	20.09	1.9	31.3	11.21
17	2.96	23.05	1.91	33.21	10.16
18	1.79	24.84	2.14	35.35	10.51
19	0.4	25.24	2.16	37.51	12.27
20	8.58	33.82	1.78	39.29	5.47
21	2.19	36.01	1.88	41.17	5.16
22	0.69	36.7	2.1	43.27	6.57
23	3.38	40.08	1.89	45.16	5.08
24	0.81	40.89	1.78	46.94	6.05
25	1.79	42.68	1.97	48.91	6.23
26	0.21	42.89	2.16	51.07	8.18
27	0.58	43.47	1.88	52.95	9.48
28	0.86	44.33	2.14	55.09	10.76
29	0.75	45.08	1.95	57.04	11.96
30	0.93	46.01	1.97	59.01	13.0
31	3.87	49.88	1.95	60.96	11.08
32	0.64	50.52	2.09	63.05	12.53
33	0.12	50.64	1.95	65.0	14.36
34	4.1	54.74	1.97	66.97	12.23
35	0.4	55.14	2.12	69.09	13.95
36	0.9	56.04	1.97	71.06	15.02
37	0.51	56.55	2.06	73.12	16.57
38	0.13	56.68	1.86	74.98	18.3
39	3.01	59.69	2.14	77.12	17.43
40	0.52	60.21	1.76	78.88	18.67
41	0.76	60.97	2.09	80.97	20.0
42	3.64	64.61	1.97	82.94	18.33
43	2.1	66.71	1.83	84.77	18.06
44	2.39	69.1	2.05	86.82	17.72
45	0.93	70.03	1.77	88.59	18.56
46	2.94	72.97	2.02	90.61	17.64
47	0.29	73.26	2.23	92.84	19.58
48	1.76	75.02	1.84	94.68	19.66
49	0.23	75.25	1.95	96.63	21.38
50	0.26	75.51	1.77	98.4	22.89
51	0.36	75.87	2.06	100.46	24.59
52	0.0	75.87	2.01	102.47	26.6
53	2.12	77.99	1.99	104.46	26.47
54	3.36	81.35	1.79	106.25	24.9
55	0.74	82.09	2.04	108.29	26.2
56	2.11	84.2	1.96	110.25	26.05
57	0.51	84.71	1.77	112.02	27.31
58	1.34	86.05	1.84	113.86	27.81
59	5.26	91.31	1.9	115.76	24.45
60	0.7	92.01	2.08	117.84	25.83
61	0.06	92.07	2.13	119.97	27.9
62	2.81	94.88	1.98	121.95	27.07
63	0.41	95.29	2.12	124.07	28.78
64	1.51	96.8	2.16	126.23	29.43
65	0.16	96.96	1.76	127.99	31.03
66	0.68	97.64	2.17	130.16	32.52
67	0.59	98.23	1.93	132.09	33.86
68	4.57	102.8	2.15	134.24	31.44
69	0.55	103.35	1.92	136.16	32.81
70	1.33	104.68	2.08	138.24	33.56
71	6.61	111.29	1.9	140.14	28.85
72	1.84	113.13	2.24	142.38	29.25
73	0.63	113.76	2.24	144.62	30.86
74	0.15	113.91	2.07	146.69	32.78
75	2.73	116.64	1.97	148.66	32.02
76	0.14	116.78	2.08	150.74	33.96
77	4.32	121.1	1.99	152.73	31.63
78	0.5	121.6	1.84	154.57	32.97
79	2.96	124.56	2.22	156.79	32.23
80	2.51	127.07	1.83	158.62	31.55
81	4.33	131.4	1.99	160.61	29.21
82	1.34	132.74	2.19	162.8	30.06
83	0.88	133.62	2.03	164.83	31.21
84	0.52	134.14	1.94	166.77	32.63
85	4.05	138.19	2.19	168.96	30.77
86	2.9	141.09	2.03	170.99	29.9
87	6.05	147.14	2.09	173.08	25.94
88	1.7	148.84	2.07	175.15	26.31
89	2.5	151.34	1.98	177.13	25.79
90	0.17	151.51	2.21	179.34	27.83
91	1.29	152.8	2.23	181.57	28.77
92	0.19	152.99	1.79	183.36	30.37
93	1.44	154.43	2.14	185.5	31.07
94	1.41	155.84	1.75	187.25	31.41
95	0.36	156.2	2.18	189.43	33.23
96	2.27	158.47	2.19	191.62	33.15
97	0.88	159.35	1.87	193.49	34.14
98	2.7	162.05	1.84	195.33	33.28
99	3.29	165.34	1.75	197.08	31.74
100	3.12	168.46	2.12	199.2	30.74
101	3.5	171.96	1.85	201.05	29.09
102	4.85	176.81	1.86	202.91	26.1
103	0.02	176.83	1.9	204.81	27.98
104	2.06	178.89	1.85	206.66	27.77
105	2.88	181.77	2.09	208.75	26.98
