CUSTOMER	ARRIVAL HEADWAY	ARRIVAL TIME	SERVICE TIME	DEPARTURE TIME	DELAY TIME
1	0.0	0.0	1.93	1.93	1.93
2	1.61	1.61	1.99	3.92	2.31
3	0.29	1.9	1.99	5.91	4.01
4	1.37	3.27	2.16	8.07	4.8
5	0.81	4.08	1.81	9.88	5.8
6	0.37	4.45	1.9	11.78	7.33
7	4.39	8.84	2.1	13.88	5.04
8	0.78	9.62	1.79	15.67	6.05
9	7.59	17.21	1.89	19.1	1.89
10	2.06	19.27	1.8	21.07	1.8
11	0.89	20.16	2.08	23.15	2.99
12	1.0	21.16	1.97	25.12	3.96
13	4.29	25.45	2.13	27.58	2.13
14	1.1	26.55	2.07	29.65	3.1
15	0.37	26.92	2.14	31.79	4.87
16	0.32	27.24	1.97	33.76	6.52
17	0.95	28.19	1.78	35.54	7.35
18	0.78	28.97	1.91	37.45	8.48
19	1.25	30.22	2.13	39.58	9.36
20	5.6	35.82	2.2	41.78	5.96
21	4.07	39.89	1.78	43.56	3.67
22	4.12	44.01	1.92	45.93	1.92
23	0.45	44.46	1.93	47.86	3.4
24	0.1	44.56	1.88	49.74	5.18
25	2.6	47.16	2.19	51.93	4.77
26	0.05	47.21	1.83	53.76	6.55
27	0.14	47.35	1.77	55.53	8.18
28	2.86	50.21	1.85	57.38	7.17
29	0.2	50.41	1.85	59.23	8.82
30	0.35	50.76	2.18	61.41	10.65
31	0.04	50.8	1.82	63.23	12.43
32	0.46	51.26	2.16	65.39	14.13
33	0.36	51.62	1.76	67.15	15.53
34	4.05	55.67	1.99	69.14	13.47
35	1.75	57.42	1.78	70.92	13.5
36	0.33	57.75	2.04	72.96	15.21
37	0.09	57.84	2.0	74.96	17.12
38	0.31	58.15	2.09	77.05	18.9
39	0.57	58.72	2.21	79.26	20.54
40	1.23	59.95	2.22	81.48	21.53
41	2.29	62.24	2.23	83.71	21.47
42	0.29	62.53	2.15	85.86	23.33
43	0.79	63.32	1.86	87.72	24.4
44	0.64	63.96	2.06	89.78	25.82
45	1.9	65.86	1.79	91.57	25.71
46	0.11	65.97	2.02	93.59	27.62
47	0.75	66.72	1.98	95.57	28.85
48	0.1	66.82	1.88	97.45	30.63
49	1.34	68.16	1.93	99.38	31.22
50	0.16	68.32	2.1	101.48	33.16
51	6.7	75.02	2.15	103.63	28.61
52	0.65	75.67	2.21	105.84	30.17
53	1.78	77.45	2.0	107.84	30.39
54	1.92	79.37	2.23	110.07	30.7
55	0.1	79.47	2.04	112.11	32.64
56	2.23	81.7	1.93	114.04	32.34
57	0.42	82.12	1.98	116.02	33.9
58	5.55	87.67	1.85	117.87	30.2
59	0.8	88.47	2.13	120.0	31.53
60	0.95	89.42	2.25	122.25	32.83
61	0.37	89.79	2.21	124.46	34.67
62	2.28	92.07	1.86	126.32	34.25
63	0.75	92.82	2.08	128.4	35.58
64	0.72	93.54	1.77	130.17	36.63
65	0.33	93.87	2.16	132.33	38.46
66	2.11	95.98	1.98	134.31	38.33
67	6.97	102.95	2.06	136.37	33.42
68	2.91	105.86	1.9	138.27	32.41
69	0.93	106.79	2.05	140.32	33.53
70	1.93	108.72	2.2	142.52	33.8
71	0.9	109.62	2.16	144.68	35.06
72	1.45	111.07	2.0	146.68	35.61
73	0.52	111.59	1.92	148.6	37.01
74	0.86	112.45	2.23	150.83	38.38
